id,treatment,genotype,sex,sugar_water_ratio,immobile_min,speed_95th,distance_01,distance_02,distance_03,distance_04,distance_05,distance_06,distance_07,distance_08,distance_09,distance_10,inactivity_01,inactivity_02,inactivity_03,inactivity_04,inactivity_05,inactivity_06,inactivity_07,inactivity_08,inactivity_09,inactivity_10,thigmo_propdist,center_propdist,center_avedist,thigmo_proptime,center_proptime,center_avetime,kurva_index,t_session1,t_session2,t_session3,t_session4,t_session5,t_session6,t_session7,t_session8,t_session9,t_session10,t_session11,t_session12,grip_strength1,grip_strength2,grip_strength3,grip_strength4,Run_Average_Speed_(cm/s)_Mean,Run_Average_Speed_(cm/s)_SD,RF_Stand_(s)_Mean,RF_Stand_(s)_SD,RF_Swing_(s)_Mean,RF_Swing_(s)_SD,RF_SwingSpeed_(cm/s)_Mean,RF_SwingSpeed_(cm/s)_SD,RF_StrideLength_(cm)_Mean,RF_StrideLength_(cm)_SD,RH_Stand_(s)_Mean,RH_Stand_(s)_SD,RH_Swing_(s)_Mean,RH_Swing_(s)_SD,RH_SwingSpeed_(cm/s)_Mean,RH_SwingSpeed_(cm/s)_SD,RH_StrideLength_(cm)_Mean,RH_StrideLength_(cm)_SD,LF_Stand_(s)_Mean,LF_Stand_(s)_SD,LF_Swing_(s)_Mean,LF_Swing_(s)_SD,LF_SwingSpeed_(cm/s)_Mean,LF_SwingSpeed_(cm/s)_SD,LF_StrideLength_(cm)_Mean,LF_StrideLength_(cm)_SD,LH_Stand_(s)_Mean,LH_Stand_(s)_SD,LH_Swing_(s)_Mean,LH_Swing_(s)_SD,LH_SwingSpeed_(cm/s)_Mean,LH_SwingSpeed_(cm/s)_SD,LH_StrideLength_(cm)_Mean,LH_StrideLength_(cm)_SD,StepSequence_CA_(%),StepSequence_CB_(%),StepSequence_AA_(%),StepSequence_AB_(%),StepSequence_RA_(%),StepSequence_RB_(%),StepSequence_RegularityIndex_(%),BOS_FrontPaws_Mean_(cm),BOS_HindPaws_Mean_(cm),OtherStatistics_Average_Speed_Mean,OtherStatistics_Average_Speed_SD,PrintPositions_RightPaws_Mean_(cm),PrintPositions_LeftPaws_Mean_(cm),Support_Zero_(%),Support_Single_(%),Support_Diagonal_(%),Support_Girdle_(%),Support_Lateral_(%),Support_Three_(%),Support_Four_(%)
7,eda,wt,m,2.77027027,1.129666667,26.03218561,743.6886201,489.3542453,514.9937882,390.1633323,340.2847275,332.2611737,268.6481816,344.4306185,327.8723154,259.0300939,0.029313791,0.187333333,0.269333333,0.270666667,0.478666667,0.462666667,0.567333333,0.344666667,0.436666667,0.474807857,0.543225062,0.078963535,20.67890304,0.626069827,0.035321288,22.61845433,0.849650045,25,75,100,100,100,100,0,0,25,50,100,100,0.7,0.6,1.4,0.6,28.21309675,4.844768958,0.137540162,0.040598425,0.102766149,0.024767161,70.94533494,17.20979777,6.936272191,0.872386515,0.118616786,0.041146838,0.127482878,0.031219246,57.0901425,14.19402515,6.989315053,1.099714097,0.134649419,0.034317956,0.109412163,0.031703087,69.89740132,24.91460549,6.942511004,0.897685848,0.12179094,0.041391616,0.125730881,0.024181877,57.45592436,9.926068577,7.023554651,0.808863781,38.23529412,17.64705882,8.823529412,35.29411765,0,0,99.27007299,1.345203286,2.03263046,28.2507685,5.252714039,0.544117647,0.594444444,0,4.798962387,78.21011673,3.372243839,1.037613489,10.89494163,1.68612192
9,ctrl,wt,m,6.385057471,0.047,29.53974101,832.3431021,673.1420505,702.3995251,776.4912546,820.4299596,806.1138235,637.6177068,712.8230611,527.9286876,539.7494809,0.040720961,0.144288577,0.159973226,0.088176353,0.047491639,0.03626595,0.193052772,0.094666667,0.251333333,0.133953488,0.520728483,0.092553986,20.99079336,0.557236752,0.074079146,22.06256805,0.661529539,75,100,100,100,100,100,0,0,25,75,100,100,0.4,0.9,0.7,0.7,32.61595788,4.806357444,0.111812331,0.020270319,0.089460073,0.012358771,76.39247483,14.85711658,6.691586911,0.719469934,0.079532936,0.022358261,0.12496799,0.022970553,54.9351881,11.72581978,6.638279778,0.697694284,0.101848056,0.020266742,0.099440726,0.014434403,68.58566194,14.97207581,6.640517685,0.720294812,0.107620253,0.027692487,0.091578406,0.024127291,73.12526815,16.23077124,6.416585422,1.097964588,76.47058824,2.941176471,8.823529412,11.76470588,0,0,98.55072464,1.401601942,2.618592892,32.51394704,5.231448674,0.352777778,0.62972973,0,9.651898734,75.3164557,4.113924051,3.006329114,7.594936709,0.316455696
11,ctrl,wt,f,2.391148325,2.1785,25.95253574,512.3048324,474.3824629,443.0279109,574.3865246,472.7082902,439.9743977,335.9758224,486.0854807,620.1136204,369.6462079,0.165223185,0.287333333,0.312666667,0.206666667,0.217333333,0.342,0.387333333,0.269333333,0.203333333,0.274253731,0.647754199,0.050023994,22.07545575,0.791014156,0.021404637,24.72001337,0.85706511,25,25,50,75,75,75,25,0,25,0,25,25,0.6,0.6,0.7,0.6,28.22048474,8.310939316,0.131383725,0.044368696,0.106955841,0.029386623,64.41009633,19.11442226,6.428656529,0.802385407,0.108033744,0.038994062,0.134102555,0.037366074,51.31371564,14.77917985,6.425112299,0.726459156,0.127680875,0.036463786,0.107739005,0.041509425,66.90502812,21.95389654,6.460398634,0.895383897,0.098462515,0.033798516,0.138780667,0.048265514,50.11876223,12.98572442,6.427601327,0.922271461,30.55555556,19.44444444,8.333333333,41.66666667,0,0,99.31034483,1.331245461,2.014754513,28.43722571,8.501472577,0.723076923,0.669444444,0,13.53179973,73.34235453,3.247631935,2.165087957,6.765899865,0.947225981
12,eda,wt,f,3.903966597,2.1855,25.53841014,712.6023147,730.7728885,418.9548581,448.7148676,392.7380398,471.802024,329.4479326,291.1192751,399.4937196,385.3622334,0.069287142,0.048666667,0.325333333,0.326666667,0.394666667,0.228666667,0.538666667,0.461333333,0.324666667,0.180978763,0.541757822,0.064590888,21.27671127,0.676233429,0.03266366,24.07362478,0.847413735,75,100,100,100,100,100,0,25,0,0,50,100,0.5,0.9,0.5,0.5,21.82562236,9.007690542,0.167954341,0.047757606,0.145541146,0.035779418,48.08585595,19.70181266,6.413855448,1.136957921,0.113188449,0.034873873,0.207068874,0.049560925,33.34170671,13.83652861,6.328932119,1.090878275,0.182623432,0.056110041,0.137431322,0.028086783,49.47914188,17.14514258,6.435039896,1.172806862,0.146758733,0.049084389,0.172427332,0.035558681,38.39198086,10.62341961,6.365987309,1.214465021,33.33333333,11.11111111,11.11111111,44.44444444,0,0,99.31034483,1.24761386,2.182712855,21.57076582,8.81145191,0.764102564,0.4825,0.555041628,17.0212766,69.38020352,4.625346901,3.515263645,4.902867715,0
13,eda,sca,m,5.035161744,4.503333333,28.33472144,794.9555297,405.3614566,484.3709366,554.8020707,651.1502159,248.3566995,527.0336402,267.0589697,643.9599589,591.7616949,0.019986676,0.286,0.402666667,0.219333333,0.147333333,0.502,0.212,0.514,0.045333333,0.04745167,0.646362503,0.042464848,22.09047712,0.665804343,0.029545919,23.62327754,0.850103769,75,75,100,75,100,100,0,50,50,25,75,25,0.9,0.5,0.5,0.7,31.59714193,3.746812278,0.106366147,0.021277684,0.078807371,0.017238582,80.1271542,21.32356467,6.008419416,0.778226464,0.089581064,0.029766077,0.096977174,0.028681454,67.30325377,22.10947445,5.977788545,0.756853312,0.112081111,0.028595402,0.073000738,0.017530521,88.5129169,27.65023127,6.053952649,0.719703504,0.08802216,0.042154857,0.094539783,0.028966375,69.62735703,22.18486892,6.00735587,0.678763261,12,20,0,65,2.5,0,98.7654321,1.333471064,1.898836626,31.60383755,3.784552183,0.372093023,0.218604651,0,6.119402985,68.65671642,3.582089552,2.388059701,17.91044776,1.343283582
14,eda,wt,m,4.278084715,1.103833333,30.59595062,881.928896,818.7744326,871.0364694,640.6968582,505.8638233,668.2750439,619.4622661,624.9725162,502.4404533,339.1954237,0.031312458,0.065333333,0.068,0.138,0.274666667,0.124666667,0.082,0.044666667,0.254,0.234703196,0.689643913,0.055279376,22.57103522,0.817151441,0.029700942,25.01046227,0.843117834,50,0,0,25,50,25,0,25,0,25,25,50,0.9,1.4,1.3,0.9,22.19514091,8.718734075,0.179635117,0.08204062,0.113194807,0.031047458,57.38761715,21.88141928,5.951465815,1.223325537,0.163146364,0.099265069,0.133163636,0.0423038,50.35396192,19.24379401,6.023241327,1.116223008,0.184262423,0.100871893,0.119230036,0.044122506,57.94044454,23.1335723,6.09653795,0.944885306,0.145169457,0.055977672,0.151462908,0.051587094,43.98855723,16.25729597,5.984380273,1.261718357,12.82051282,20.51282051,10.25641026,56.41025641,0,0,98.73417722,1.482499783,2.276641052,22.27505571,8.705039894,0.419047619,0.451219512,0,1.923076923,71.92307692,2.884615385,0.480769231,17.5,5.288461538
15,ctrl,sca,f,3.469465649,2.476333333,26.89600947,758.822994,750.6168082,869.8471802,602.2737968,175.739837,352.8701993,294.7912377,209.038342,112.852003,187.7431962,0.033977348,0.02,0.042,0.178,0.716,0.444,0.576,0.522666667,0.776666667,0.644204852,0.730314075,0.050855659,22.81253551,0.759478996,0.031232951,23.73799009,0.860140479,50,75,75,100,25,100,50,25,50,75,25,0,0.9,0.9,0.9,0.5,14.67993215,4.910609485,0.231702383,0.22971889,0.109316544,0.051827886,48.28057618,23.87866391,4.57693408,1.548619612,0.162202936,0.17268253,0.15650752,0.069618677,32.63219462,18.23817842,4.409609781,2.118971578,0.244864423,0.23414357,0.089763474,0.028092515,56.02466874,25.01516527,4.560245087,1.238680695,0.193507553,0.213817345,0.129489549,0.051373774,33.2010704,13.0623202,4.146970961,1.64716359,17.39130435,6.52173913,4.347826087,67.39130435,2.173913043,2.173913043,84.79262673,1.351858826,1.440249865,14.64966368,5.027022109,1.796774194,1.636666667,0.172910663,3.573487032,44.2074928,4.668587896,1.613832853,25.41786744,20.34582133
16,ctrl,wt,f,3.318910256,1.781,30.88524162,1138.8316,976.5200516,925.6809374,884.7289313,728.8164028,936.0754267,738.6245732,595.2745555,864.8262994,593.7928711,0.00799467,0.061456246,0.127175368,0.066666667,0.220666667,0.096,0.169333333,0.239812959,0.136940548,0.269438029,0.826374934,0.028346636,25.38214678,0.856613436,0.01489118,26.42083993,0.518056534,75,75,75,100,100,100,0,0,0,0,100,100,1,1,0.8,0.9,25.82752134,11.16541512,0.13692884,0.044408617,0.139805138,0.037217981,50.06152894,21.46010338,6.312070766,1.073332936,0.110828456,0.049336783,0.165118163,0.042600641,40.10391156,15.4565551,6.110106642,1.329012841,0.12737804,0.049291812,0.145074342,0.055942897,48.74022826,23.34987827,6.186810186,1.500869354,0.099186346,0.030182786,0.181020257,0.06311542,40.46967206,18.67858325,6.310911804,1.170631699,45.94594595,27.02702703,24.32432432,2.702702703,0,0,96.73202614,1.338616498,2.268924742,26.01756499,11.30959567,1.019512195,1.020512821,1.677148847,27.77777778,60.7966457,1.467505241,7.1278826,1.153039832,0
18,ctrl,sca,m,2.975446429,3.804166667,22.1085856,196.1073653,41.67249886,112.214737,331.9229641,336.322609,207.5005235,200.5124758,262.4228538,165.7759748,236.2341999,0.614257162,0.998666667,0.867333333,0.605333333,0.417333333,0.682,0.6,0.546666667,0.748666667,0.542322097,0.626923781,0.044801196,22.2746075,0.710130324,0.01182319,25.17411023,0.794973356,25,50,50,50,50,100,25,25,50,25,25,25,1.5,1.3,0.8,0.7,22.72138343,4.929158338,0.159420537,0.058438817,0.114391846,0.048719602,60.87017651,20.52216384,6.198622925,0.931898011,0.123022297,0.047106249,0.142720661,0.049356843,46.68693,17.20543843,6.038841825,1.276479423,0.163687543,0.070716968,0.107764732,0.035611549,63.6410464,20.22073337,6.250368937,0.803384545,0.119912367,0.064613769,0.143845107,0.038320215,44.23589185,11.30667994,6.074955753,1.172273475,5.405405405,21.62162162,0,70.27027027,2.702702703,0,94.87179487,0.905190311,1.998488965,22.88072418,5.18214211,0.322727273,0.409756098,0,6.109324759,70.09646302,7.18113612,0.535905681,14.04072883,2.036441586
19,eda,sca,f,0.229249012,2.577166667,22.87504007,332.0399566,280.9165755,133.5890917,258.7119604,71.10498083,108.2928963,93.38333025,125.4049943,429.8332984,270.6289483,0.45502998,0.557333333,0.838,0.616,0.896,0.825333333,0.957333333,0.854666667,0.248,0.478425435,0.729714987,0.03952207,23.34340155,0.929935449,0.01035503,26.19970786,0.801680665,25,50,75,75,50,50,0,0,25,25,0,100,0.7,0.6,0.9,1.2,28.02798631,10.6565116,0.136437136,0.053369349,0.11480171,0.057408516,67.00002287,32.12261699,6.350578173,1.55840341,0.063620427,0.029255448,0.221268783,0.142105131,38.19886144,16.78791854,6.941706136,1.936562131,0.147806802,0.071537195,0.105117707,0.055020034,71.37211877,31.30192575,6.488655591,1.730674017,0.114267178,0.06232276,0.149102663,0.065872825,51.62057086,17.84927063,7.073793082,2.898860192,43.33333333,3.333333333,0,53.33333333,0,0,88.23529412,1.101834831,2.024521859,28.09017235,10.79704106,0.39375,0.118181818,0,26.65764547,54.8037889,9.066305819,1.623815968,7.848443843,0
