id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
9;ctrl;wt;m;1;C;hemispheres;12.358;247601.619
9;ctrl;wt;m;1;D;hemispheres;11.929;201438.691
9;ctrl;wt;m;2;C;hemispheres;17.555;24688.818
9;ctrl;wt;m;2;D;hemispheres;16.579;65618.148
9;ctrl;wt;m;2;E;hemispheres;10.382;98584.922
9;ctrl;wt;m;2;F;hemispheres;14.526;119731.827
9;ctrl;wt;m;3;C;hemispheres;12.654;79156.687
9;ctrl;wt;m;3;D;hemispheres;15.682;66775.173
9;ctrl;wt;m;3;E;hemispheres;14.486;198353.854
9;ctrl;wt;m;3;F;hemispheres;15.661;113226.514
9;ctrl;wt;m;4;C;hemispheres;11.110;121607.354
9;ctrl;wt;m;4;D;hemispheres;13.530;53439.029
9;ctrl;wt;m;4;E;hemispheres;12.646;86426.041
9;ctrl;wt;m;4;F;hemispheres;18.270;42302.243
9;ctrl;wt;m;5;A;vermis;9.700;148343.734
9;ctrl;wt;m;5;B;vermis;7.775;88509.023
9;ctrl;wt;m;5;C;hemispheres;13.167;75400.573
9;ctrl;wt;m;5;D;hemispheres;18.775;58335.301
9;ctrl;wt;m;5;E;hemispheres;12.888;40629.111
9;ctrl;wt;m;5;F;hemispheres;12.988;94515.095
9;ctrl;wt;m;6;A;vermis;10.911;75167.819
9;ctrl;wt;m;6;B;vermis;5.286;102136.954
9;ctrl;wt;m;6;C;hemispheres;15.041;128035.082
9;ctrl;wt;m;6;D;hemispheres;18.363;50136.617
9;ctrl;wt;m;6;E;hemispheres;11.030;85906.561
9;ctrl;wt;m;6;F;hemispheres;14.038;54267.161
9;ctrl;wt;m;7;A;vermis;8.978;118419.632
9;ctrl;wt;m;7;B;vermis;9.809;112415.247
9;ctrl;wt;m;7;C;hemispheres;12.299;83420.476
9;ctrl;wt;m;7;D;hemispheres;14.011;68110.980
9;ctrl;wt;m;7;E;hemispheres;14.102;88966.099
9;ctrl;wt;m;7;F;hemispheres;17.989;35633.328
9;ctrl;wt;m;8;A;vermis;12.830;31942.992
9;ctrl;wt;m;8;B;vermis;10.563;77284.534
9;ctrl;wt;m;8;C;hemispheres;13.750;80851.746
9;ctrl;wt;m;8;D;hemispheres;13.545;67991.230
9;ctrl;wt;m;8;E;hemispheres;13.346;91490.977
9;ctrl;wt;m;8;F;hemispheres;15.349;109343.903
9;ctrl;wt;m;9;A;vermis;7.172;46633.496
9;ctrl;wt;m;9;B;vermis;9.756;277530.781
9;ctrl;wt;m;9;C;hemispheres;14.461;102874.009
9;ctrl;wt;m;9;D;hemispheres;18.787;47814.134
9;ctrl;wt;m;9;E;hemispheres;13.155;116589.644
9;ctrl;wt;m;9;F;hemispheres;13.817;101361.106
9;ctrl;wt;m;10;A;vermis;11.632;104481.363
9;ctrl;wt;m;10;B;vermis;10.767;76412.548
9;ctrl;wt;m;10;C;hemispheres;16.130;141576.994
9;ctrl;wt;m;10;D;hemispheres;11.911;87960.870
9;ctrl;wt;m;10;E;hemispheres;15.397;87670.771
9;ctrl;wt;m;10;F;hemispheres;17.924;171835.048
9;ctrl;wt;m;11;A;vermis;13.430;107906.898
9;ctrl;wt;m;11;B;vermis;12.110;82906.055
9;ctrl;wt;m;11;C;hemispheres;14.314;81071.007
9;ctrl;wt;m;11;D;hemispheres;16.786;90782.594
9;ctrl;wt;m;11;E;hemispheres;19.332;282416.934
9;ctrl;wt;m;11;F;hemispheres;20.596;183912.970
9;ctrl;wt;m;12;A;vermis;16.243;72492.832
9;ctrl;wt;m;12;C;hemispheres;26.062;50794.400
9;ctrl;wt;m;12;D;hemispheres;17.432;159020.071
9;ctrl;wt;m;12;E;hemispheres;17.459;104243.549
9;ctrl;wt;m;12;F;hemispheres;15.814;63078.091
9;ctrl;wt;m;13;A;vermis;14.167;68829.482
9;ctrl;wt;m;13;B;vermis;10.923;43670.096
9;ctrl;wt;m;13;C;hemispheres;16.459;81767.583
9;ctrl;wt;m;13;D;hemispheres;16.964;72543.431
9;ctrl;wt;m;13;E;hemispheres;15.337;100615.618
9;ctrl;wt;m;13;F;hemispheres;18.901;68628.774
9;ctrl;wt;m;14;A;vermis;
9;ctrl;wt;m;14;B;vermis;12.990;72045.876
9;ctrl;wt;m;14;C;hemispheres;18.872;76763.367
9;ctrl;wt;m;14;D;hemispheres;20.348;132103.221
9;ctrl;wt;m;14;E;hemispheres;20.551;61932.872
9;ctrl;wt;m;14;F;hemispheres;17.035;65694.046
9;ctrl;wt;m;15;A;vermis;18.898;115717.659
9;ctrl;wt;m;15;B;vermis;22.149;42809.917
9;ctrl;wt;m;15;C;hemispheres;18.640;36286.052
9;ctrl;wt;m;15;D;hemispheres;21.637;66606.510
11;ctrl;wt;f;1;C;hemispheres;25.398;34769.776
11;ctrl;wt;f;1;D;hemispheres;21.521;27817.507
11;ctrl;wt;f;1;E;hemispheres;16.990;40362.624
