id;treatment;genotype;sex;slice;order;CbRegion(vermis_hemispheres);mean;area
9;ctrl;wt;m;1;C;hemispheres;35.459;323572.272
9;ctrl;wt;m;1;D;hemispheres;38.465;332288.750
9;ctrl;wt;m;2;C;hemispheres;38.54;228465.171
9;ctrl;wt;m;2;D;hemispheres;30.406;122241.525
9;ctrl;wt;m;2;E;hemispheres;34.58;334317.760
9;ctrl;wt;m;2;F;hemispheres;40.056;250281.666
9;ctrl;wt;m;3;C;hemispheres;39.314;427655.591
9;ctrl;wt;m;3;D;hemispheres;39.268;173961.882
9;ctrl;wt;m;3;E;hemispheres;40.994;401106.426
9;ctrl;wt;m;3;F;hemispheres;39.181;245376.961
9;ctrl;wt;m;4;C;hemispheres;31.485;261656.266
9;ctrl;wt;m;4;D;hemispheres;41.644;204660.145
9;ctrl;wt;m;4;E;hemispheres;36.338;292948.221
9;ctrl;wt;m;4;F;hemispheres;30.002;254833.867
9;ctrl;wt;m;5;A;vermis;31.233;250325.519
9;ctrl;wt;m;5;B;vermis;28.858;134906.392
9;ctrl;wt;m;5;C;hemispheres;39.067;271666.386
9;ctrl;wt;m;5;D;hemispheres;24.388;197198.516
9;ctrl;wt;m;5;E;hemispheres;33.419;158689.492
9;ctrl;wt;m;5;F;hemispheres;33.928;200084.331
9;ctrl;wt;m;6;A;vermis;37.294;292308.990
9;ctrl;wt;m;6;B;vermis;31.867;300598.752
9;ctrl;wt;m;6;C;hemispheres;36.841;451716.984
9;ctrl;wt;m;6;D;hemispheres;26.423;268397.706
9;ctrl;wt;m;6;E;hemispheres;40.512;482818.350
9;ctrl;wt;m;6;F;hemispheres;39.518;135643.447
9;ctrl;wt;m;7;A;vermis;29.51;172528.251
9;ctrl;wt;m;7;B;vermis;24.987;390364.311
9;ctrl;wt;m;7;C;hemispheres;39.497;312705.347
9;ctrl;wt;m;7;D;hemispheres;35.288;161517.963
9;ctrl;wt;m;7;E;hemispheres;33.504;310084.331
9;ctrl;wt;m;7;F;hemispheres;26.99;207500.422
9;ctrl;wt;m;8;A;vermis;31.353;141167.145
9;ctrl;wt;m;8;B;vermis;25.553;373815.146
9;ctrl;wt;m;8;C;hemispheres;34.456;268338.674
9;ctrl;wt;m;8;D;hemispheres;35.186;225871.142
9;ctrl;wt;m;8;E;hemispheres;31.588;369819.531
9;ctrl;wt;m;8;F;hemispheres;27.32;449298.364
9;ctrl;wt;m;9;A;vermis;30.928;481086.187
9;ctrl;wt;m;9;B;vermis;26.123;225763.198
9;ctrl;wt;m;9;C;hemispheres;35.466;400526.227
9;ctrl;wt;m;9;D;hemispheres;29.632;369202.226
9;ctrl;wt;m;9;E;hemispheres;42.529;402513.071
9;ctrl;wt;m;9;F;hemispheres;37.879;253066.284
9;ctrl;wt;m;10;A;vermis;32.14;123315.905
9;ctrl;wt;m;10;B;vermis;30.639;340377.804
9;ctrl;wt;m;10;C;hemispheres;33.537;433852.252
9;ctrl;wt;m;10;D;hemispheres;33.199;424874.346
9;ctrl;wt;m;10;E;hemispheres;31.714;360053.972
9;ctrl;wt;m;10;F;hemispheres;25.397;410861.865
9;ctrl;wt;m;11;A;vermis;29.231;253111.823
9;ctrl;wt;m;11;B;vermis;20.655;198762.017
9;ctrl;wt;m;11;C;hemispheres;29.194;740927.644
9;ctrl;wt;m;11;D;hemispheres;34.566;354813.628
9;ctrl;wt;m;11;E;hemispheres;28.397;217594.873
9;ctrl;wt;m;11;F;hemispheres;26.885;318645.640
9;ctrl;wt;m;12;A;vermis;28.08;334673.638
9;ctrl;wt;m;12;C;hemispheres;32.102;379843.144
9;ctrl;wt;m;12;D;hemispheres;27.065;374047.900
9;ctrl;wt;m;12;E;hemispheres;27.677;268649.013
9;ctrl;wt;m;12;F;hemispheres;26.299;230529.600
9;ctrl;wt;m;13;A;vermis;21.319;237932.198
9;ctrl;wt;m;13;B;vermis;28.514;172698.600
9;ctrl;wt;m;13;C;hemispheres;31.224;401988.531
9;ctrl;wt;m;13;D;hemispheres;27.215;421910.946
9;ctrl;wt;m;13;E;hemispheres;31.369;109020.071
9;ctrl;wt;m;13;F;hemispheres;24.924;323187.721
9;ctrl;wt;m;14;A;vermis;31.049;142799.798
9;ctrl;wt;m;14;B;vermis;30.538;166547.478
9;ctrl;wt;m;14;C;hemispheres;29.765;325220.105
9;ctrl;wt;m;14;D;hemispheres;28.518;392361.275
9;ctrl;wt;m;14;E;hemispheres;24.015;421993.591
9;ctrl;wt;m;14;F;hemispheres;28.073;225432.619
9;ctrl;wt;m;15;A;vermis;36.667;203209.647
9;ctrl;wt;m;15;B;vermis;34.11;165670.433
9;ctrl;wt;m;15;C;hemispheres;31.526;154467.870
9;ctrl;wt;m;15;D;hemispheres;33.797;318439.872
11;ctrl;wt;f;1;C;hemispheres;47.743;390694.890
11;ctrl;wt;f;1;D;hemispheres;45.828;124958.678
11;ctrl;wt;f;1;E;hemispheres;44.091;414395.345
11;ctrl;wt;f;1;F;hemispheres;41.347;193292.292
