id,sex,genotype,treatment,tissue,cs,mereni
1,F,wt,ctrl,hippocampus,0.015441176,a
1,F,wt,ctrl,hippocampus,0.015441176,b
2,F,wt,ctrl,hippocampus,0.014338235,a
2,F,wt,ctrl,hippocampus,0.014705882,b
3,F,wt,ctrl,hippocampus,0.009313725,a
3,F,wt,ctrl,hippocampus,0.012990196,b
4,F,wt,ctrl,hippocampus,0.013235294,a
4,F,wt,ctrl,hippocampus,0.011029412,b
5,F,wt,ctrl,hippocampus,0.007843137,a
5,F,wt,ctrl,hippocampus,0.009558824,b
6,F,sca,ctrl,hippocampus,0.015441176,a
6,F,sca,ctrl,hippocampus,0.021323529,b
7,F,sca,ctrl,hippocampus,0.013602941,a
7,F,sca,ctrl,hippocampus,0.013602941,b
8,F,sca,ctrl,hippocampus,0.009926471,a
8,F,sca,ctrl,hippocampus,0.012132353,b
9,F,sca,ctrl,hippocampus,0.0125,a
9,F,sca,ctrl,hippocampus,0.011029412,b
10,F,sca,ctrl,hippocampus,0.010539216,a
10,F,sca,ctrl,hippocampus,0.009803922,b
11,F,sca,eda,hippocampus,0.011397059,a
11,F,sca,eda,hippocampus,0.013970588,b
12,F,sca,eda,hippocampus,0.018382353,a
12,F,sca,eda,hippocampus,0.014338235,b
13,F,sca,eda,hippocampus,0.010661765,a
13,F,sca,eda,hippocampus,0.008823529,b
14,F,sca,eda,hippocampus,0.014338235,a
14,F,sca,eda,hippocampus,0.010539216,b
15,F,sca,eda,hippocampus,0.014460784,a
15,F,sca,eda,hippocampus,0.014338235,b
16,M,wt,ctrl,hippocampus,0.023529412,a
16,M,wt,ctrl,hippocampus,0.017279412,b
17,M,wt,ctrl,hippocampus,0.012132353,a
17,M,wt,ctrl,hippocampus,0.011397059,b
18,M,wt,ctrl,hippocampus,0.017647059,a
18,M,wt,ctrl,hippocampus,0.018014706,b
19,M,wt,ctrl,hippocampus,0.011029412,a
19,M,wt,ctrl,hippocampus,0.011764706,b
20,M,wt,ctrl,hippocampus,0.015196078,a
20,M,wt,ctrl,hippocampus,0.011519608,b
21,M,wt,eda,hippocampus,0.015441176,a
21,M,wt,eda,hippocampus,0.013235294,b
22,M,wt,eda,hippocampus,0.012132353,a
22,M,wt,eda,hippocampus,0.015808824,b
23,M,wt,eda,hippocampus,0.012132353,a
23,M,wt,eda,hippocampus,0.0125,b
24,M,wt,eda,hippocampus,0.006617647,a
24,M,wt,eda,hippocampus,0.008823529,b
25,M,wt,eda,hippocampus,0.020220588,a
25,M,wt,eda,hippocampus,0.021323529,b
