id,treatment,genotype,sex,tissue,il6,bdnf,
1,ctrl,wt,f,hip,46.93501596,,
2,ctrl,wt,m,hip,50.49812909,,
3,eda,wt,m,hip,53.04612282,,
5,eda,sca,m,hip,53.85989752,,
17,eda,wt,m,hip,54.14420019,,
22,ctrl,wt,m,hip,51.36823222,,
34,ctrl,sca,f,hip,50.7879751,,
42,eda,wt,m,hip,56.9397459,,
43,eda,sca,f,hip,31.49307067,,
51,ctrl,wt,f,hip,34.84420375,,
55,eda,wt,m,hip,29.62826712,,
56,eda,sca,f,hip,38.01667498,,
57,ctrl,sca,f,hip,47.21622455,,
58,eda,wt,f,hip,31.18891661,,
59,eda,sca,f,hip,39.26224612,,
62,eda,sca,f,hip,24.09344821,,
63,eda,sca,m,hip,31.8137977,,
64,ctrl,sca,m,hip,36.92745272,,
69,eda,sca,m,hip,38.21143285,,
70,ctrl,wt,m,hip,29.28871314,,
71,ctrl,wt,m,hip,31.84553577,,
73,ctrl,sca,f,hip,33.75952222,,
75,ctrl,sca,m,hip,29.75816264,,
76,eda,wt,f,hip,29.78425238,,
77,ctrl,sca,f,hip,36.04846172,,
83,ctrl,wt,f,hip,31.19824764,,
86,ctrl,sca,m,hip,30.33462738,,
89,ctrl,sca,m,hip,27.31364212,,
92,eda,sca,m,hip,29.82885086,,
95,ctrl,wt,f,hip,27.9813674,,
96,eda,wt,f,hip,36.94254557,,
121,eda,wt,f,hip,27.67420336,,
1,ctrl,wt,f,crbl,35.62758134,17.56298317,
2,ctrl,wt,m,crbl,50.47530984,19.49227479,
3,eda,wt,m,crbl,45.64837905,15.30869773,
5,eda,sca,m,crbl,46.79722733,18.02693738,
17,eda,wt,m,crbl,45.52397525,15.11284581,
22,ctrl,wt,m,crbl,48.90860873,14.99944466,
34,ctrl,sca,f,crbl,57.42494388,17.67676854,
42,eda,wt,m,crbl,52.48798152,17.25297627,
43,eda,sca,f,crbl,47.3655534,14.51750084,
51,ctrl,wt,f,crbl,57.81281687,16.98346265,
55,eda,wt,m,crbl,57.02754036,16.76379183,
56,eda,sca,f,crbl,47.50215703,17.15271773,
57,ctrl,sca,f,crbl,53.53788756,25.6903269,
58,eda,wt,f,crbl,50.31565657,15.32943014,
59,eda,sca,f,crbl,49.79934331,16.12964714,
62,eda,sca,f,crbl,54.27526292,20.56989531,
63,eda,sca,m,crbl,51.0538533,18.05098426,
64,ctrl,sca,m,crbl,58.25156855,19.02464792,
69,eda,sca,m,crbl,48.92439802,14.75421666,
70,ctrl,wt,m,crbl,58.45318814,18.56006172,
71,ctrl,wt,m,crbl,54.1129249,13.44673894,
73,ctrl,sca,f,crbl,57.81408052,13.03496221,
75,ctrl,sca,m,crbl,53.82225536,12.83843991,
76,eda,wt,f,crbl,49.13575907,12.50019963,
77,ctrl,sca,f,crbl,42.27577536,11.56442827,
83,ctrl,wt,f,crbl,45.77493481,10.42283933,
86,ctrl,sca,m,crbl,50.14706714,13.4874957,
89,ctrl,sca,m,crbl,47.91980369,13.94740333,
92,eda,sca,m,crbl,48.76194491,15.04522578,
95,ctrl,wt,f,crbl,48.08507171,12.27924615,
96,eda,wt,f,crbl,51.76753394,15.03924885,
121,eda,wt,f,crbl,45.00772499,9.907299835,
