id mito,id,sex,genotype,treatment,normalisation,region,Sample,M_plus_G,D,c,P,S,Fccp,Rot,Ama,As/Tm,Azd,C_iv,b,out,out_susp
EM1,1,f,wt,ctrl,mg,hippocampus,3.627232877,7.625424658,18.94641096,17.34147945,26.28591781,55.21068493,82.22410959,24.83873973,0,355.9900274,94.60109589,261.3889315,,,
EM2,1,f,wt,ctrl,mg,hippocampus,3.163616438,6.528986301,15.74383562,14.38679452,22.02471233,48.84542466,72.97923288,25.15336986,0,368.8523288,89.02624658,279.8260822,,,
EM49,51,f,wt,ctrl,mg,hippocampus,0.865960265,3.444556291,6.016264901,7.535205298,9.896529801,42.41928477,64.26490066,27.2394702,0,184.7544901,29.21117881,155.5433113,,,
EM50,51,f,wt,ctrl,mg,hippocampus,2.194225166,4.120794702,6.023682119,8.379549669,10.51835762,41.43189404,63.36180132,25.98807947,0,159.1106225,27.49298013,131.6176424,,,
EM77,61,f,wt,ctrl,mg,hippocampus,1.541209677,4.726693548,13.85483871,15.04048387,22.6558871,46.88387097,74.09943548,24.21266129,0,192.5693548,38.34677419,154.2225806,,,
EM78,61,f,wt,ctrl,mg,hippocampus,1.551209677,6.178064516,20.57129032,22.09274194,35.65725806,62.7483871,97.74314516,31.95620968,0,202.4167742,36.41862903,165.9981452,,,
EM125,83,f,wt,ctrl,mg,hippocampus,0.497592295,2.813804173,7.976051364,8.504012841,17.169374,55.3305939,79.71678973,31.47011236,0,162.2756982,30.53078652,131.7449117,,,
EM126,83,f,wt,ctrl,mg,hippocampus,0.996725522,2.994991974,8.239678973,10.22022472,17.19993579,42.14857143,63.70632424,26.18651685,0,147.2628571,30.83556982,116.4272873,,,
EM149,95,f,wt,ctrl,mg,hippocampus,0.02247619,2.706666667,6.463466667,8.202057143,12.29432381,35.94620952,54.67771429,22.76533333,0,158.1462857,42.6519619,115.4943238,,,
EM150,95,f,wt,ctrl,mg,hippocampus,0.526704762,2.531047619,7.106133333,9.058590476,12.88175238,33.67504762,51.33295238,21.57630476,0,150.6856381,40.59009524,110.0955429,,,
EM33,34,f,sca,ctrl,mg,hippocampus,4.264065041,8.484173442,18.38775068,18.92271003,20.82059621,48.47349593,73.68124661,23.96747967,0,179.5169648,36.09517615,143.4217886,,,
EM34,34,f,sca,ctrl,mg,hippocampus,2.844119241,6.099566396,12.20720867,12.2499187,13.06276423,33.93246612,52.86921409,18.10720867,0,140.0702439,32.4697561,107.6004878,,,
EM61,57,f,sca,ctrl,mg,hippocampus,3.278395245,7.531827637,20.27441308,21.61759287,33.5764636,63.1189896,89.6761367,32.30680535,0,187.293789,28.43013373,158.8636553,,,
EM62,57,f,sca,ctrl,mg,hippocampus,1.386389302,5.235542348,15.32683507,16.1161367,25.59946508,52.36933135,74.75548291,30.54026746,0,151.1265973,23.90989599,127.2167013,,,
EM73,60,f,sca,ctrl,mg,hippocampus,0.822350515,4.114391753,16.13212371,17.11224742,29.45360825,60.45352577,96.92041237,31.41402062,0,195.1075464,37.19298969,157.9145567,,,
EM74,60,f,sca,ctrl,mg,hippocampus,0.768164948,5.473072165,18.76618557,19.58358763,34.27447423,63.8105567,101.518268,34.44189691,0,200.0461031,35.90416495,164.1419381,,,
EM109,73,f,sca,ctrl,mg,hippocampus,2.336283186,4.148053097,8.165486726,10.06964602,11.37265487,48.2880531,76.52539823,30.76026549,0,195.5400885,39.9699115,155.570177,,,
EM110,73,f,sca,ctrl,mg,hippocampus,2.375044248,4.687787611,7.790442478,9.522743363,11.82318584,41.89486726,65.77044248,24.85265487,0,199.139646,45.13672566,154.0029204,,,
EM121,77,f,sca,ctrl,mg,hippocampus,0.188031496,3.525590551,12.43149606,13.41771654,22.61417323,54.11141732,81.48338583,30.54511811,0,179.9218898,31.83370079,148.088189,,,
EM122,77,f,sca,ctrl,mg,hippocampus,3.402834646,7.27015748,16.49181102,17.85653543,26.47748031,55.31708661,84.59606299,30.93944882,0,170.6062992,35.09724409,135.5090551,,,
EM45,43,f,sca,eda,mg,hippocampus,3.419461538,8.096923077,18.20992308,19.89792308,26.61430769,58.17546154,92.57746154,28.39876923,0,183.7086923,35.42330769,148.2853846,,,
EM46,43,f,sca,eda,mg,hippocampus,5.047384615,9.184230769,19.632,23.54723077,28.47746154,61.806,99.09538462,27.847,0,182.4909231,34.91361538,147.5773077,,,
EM57,56,f,sca,eda,mg,hippocampus,1.598873995,5.337533512,15.71013405,16.94648794,27.4802681,55.07453083,88.44514745,27.89635389,0,178.1270241,25.5310992,152.5959249,,,
EM58,56,f,sca,eda,mg,hippocampus,1.824664879,5.626434316,15.07780161,16.95983914,26.28680965,50.07254692,77.53292225,24.94981233,0,151.7256836,24.00300268,127.722681,,,
EM69,59,f,sca,eda,mg,hippocampus,2.024339623,5.520660377,14.14245283,15.75669811,20.27707547,40.24669811,74.40226415,24.81801887,0,211.3557547,44.42669811,166.9290566,,,
EM70,59,f,sca,eda,mg,hippocampus,0,3.876415094,13.34981132,15.05811321,19.50396226,44.53075472,77.98556604,25.27811321,0.645471698,180.5433962,43.38150943,137.1618868,,,
EM81,62,f,sca,eda,mg,hippocampus,0.742350674,6.942042389,17.75491329,20.24416185,34.36840077,73.53919075,115.2235067,40.06057803,0,258.9721002,43.26712909,215.7049711,,,
EM82,62,f,sca,eda,mg,hippocampus,0.438843931,4.500809249,9.894874759,11.39714836,18.39483622,45.08423892,70.05633911,26.5055106,0,189.3693256,40.09248555,149.2768401,,,
EM93,66,f,sca,eda,mg,hippocampus,0.963275261,4.968013937,12.86181185,14.3312892,21.75505226,59.63609756,89.10278746,35.71560976,0,205.1126829,32.46898955,172.6436934,,,
EM94,66,f,sca,eda,mg,hippocampus,2.011010453,5.486898955,14.04543554,15.0641115,22.95498258,55.72501742,82.11094077,31.27226481,0,194.3593728,34.5441115,159.8152613,,,
EM5,2,m,wt,ctrl,mg,hippocampus,5.032493151,10.39068493,30.69715068,29.34843836,44.32427397,87.3469589,121.9258082,39.9770411,0,427.0388493,78.28712329,348.751726,,,
EM6,2,m,wt,ctrl,mg,hippocampus,4.618630137,10.11605479,30.02668493,28.70860274,38.66191781,79.24794521,110.5367671,36.67249315,0,430.6564384,94.57041096,336.0860274,,,
EM21,6,m,wt,ctrl,mg,hippocampus,4.026517691,7.914636872,17.47396648,17.09124767,21.42316574,53.18286778,88.53512104,26.69832402,0,318.0966108,79.66659218,238.4300186,,,
EM22,6,m,wt,ctrl,mg,hippocampus,3.282383613,5.437392924,14.0418622,15.06815642,17.32201117,44.18703911,73.40379888,25.15806331,0,265.7625326,76.05504655,189.707486,,,
EM29,22,m,wt,ctrl,mg,hippocampus,5.020094192,8.217582418,14.09098901,11.84257457,31.99874411,74.73262166,100.3051805,31.12339089,0,365.4253689,76.43095761,288.9944113,,,
EM30,22,m,wt,ctrl,mg,hippocampus,7.401821036,10.68540031,16.87598116,15.64847724,30.77136578,68.96320251,94.60433281,26.31133438,0,318.7003454,76.53343799,242.1669074,,,
