hist_id,slice,side,part ID,structure,area,psa_ncam
6367,1,l,1,CA1 SLM,X,X
6367,1,l,1,CA4 pyr,8821,19.966
6367,1,l,1,DG PL hilus,4087,23.952
6367,1,l,1,DG-ML,9177,25.097
6367,1,p,1,CA1 SLM,X,X
6367,1,p,1,CA4 pyr,16841,16.787
6367,1,p,1,DG PL hilus,13297,18.556
6367,1,p,1,DG-ML,4142,22.54
6367,2,l,1,CA1 SLM,8848,20.482
6367,2,l,1,CA4 pyr,17643,16.278
6367,2,l,1,DG PL hilus,17335,17.941
6367,2,l,1,DG-ML,37153,21.08
6367,2,p,1,CA1 SLM,22552,15.659
6367,2,p,1,CA4 pyr,25539,15.166
6367,2,p,1,DG PL hilus,24120,11.578
6367,2,p,1,DG-ML,110116,14.327
6367,3,l,1,CA1 SLM,18642,15.622
6367,3,l,1,CA4 pyr,18560,12.563
6367,3,l,1,DG PL hilus,30651,13.556
6367,3,l,1,DG-ML,62375,15.843
6367,3,p,1,CA1 SLM,12228,14.449
6367,3,p,1,CA4 pyr,41385,9.161
6367,3,p,1,DG PL hilus,47737,9.572
6367,3,p,1,DG-ML,64019,11.544
6367,4,l,1,CA1 SLM,52142,14.393
6367,4,l,1,CA4 pyr,12144,12.878
6367,4,l,1,DG PL hilus,3601,15.382
6367,4,l,1,DG-ML,77522,15.725
6367,4,p,1,CA1 SLM,18821,12.97
6367,4,p,1,CA4 pyr,18428,11.556
6367,4,p,1,DG PL hilus,29885,12.524
6367,4,p,1,DG-ML,59737,12.628
6367,5,l,1,CA1 SLM,28413,15.386
6367,5,l,1,CA4 pyr,16959,11.284
6367,5,l,1,DG PL hilus,46024,12.548
6367,5,l,1,DG-ML,128342,13.125
6367,5,p,1,CA1 SLM,32284,12.936
6367,5,p,1,CA4 pyr,21577,8.719
6367,5,p,1,DG PL hilus,42975,10.242
6367,5,p,1,DG-ML,119288,10.982
6367,6,l,1,CA1 SLM,15554,11.523
6367,6,l,1,CA4 pyr,15122,10.269
6367,6,l,1,DG PL hilus,32655,11.047
6367,6,l,1,DG-ML,20315,10.62
6367,6,p,1,CA1 SLM,20390,13.388
6367,6,p,1,CA4 pyr,21248,9.838
6367,6,p,1,DG PL hilus,3650,12.059
6367,6,p,1,DG-ML,53950,12.257
6367,7,l,1,CA1 SLM,15323,10.7
6367,7,l,1,CA4 pyr,19870,10.108
6367,7,l,1,DG PL hilus,34726,11.806
6367,7,l,1,DG-ML,48197,10.671
6367,7,p,1,CA1 SLM,3565,8.292
6367,7,p,1,CA4 pyr,31319,8.152
6367,7,p,1,DG PL hilus,37728,10.02
6367,7,p,1,DG-ML,28791,9.524
6367,8,l,1,CA1 SLM,40027,8.68
6367,8,l,1,CA4 pyr,42080,8.87
6367,8,l,1,DG PL hilus,49470,10.914
6367,8,l,1,DG-ML,47220,9.111
6367,8,p,1,CA1 SLM,30734,12.748
6367,8,p,1,CA4 pyr,24125,10.584
6367,8,p,1,DG PL hilus,35446,12.692
6367,8,p,1,DG-ML,100295,11.35
6367,9,l,1,CA1 SLM,28975,9.263
6367,9,l,1,CA4 pyr,23322,10.651
6367,9,l,1,DG PL hilus,33116,12.733
6367,9,l,1,DG-ML,49294,10.523
6367,9,p,1,CA1 SLM,47888,7.968
6367,9,p,1,CA4 pyr,42031,8.243
6367,9,p,1,DG PL hilus,108725,10.706
6367,9,p,1,DG-ML,71962,8.16
6367,10,l,1,CA1 SLM,66025,8.228
6367,10,l,2,CA4 pyr,49271,9.059
6367,10,l,1,DG PL hilus,118180,10.819
6367,10,l,1,DG-ML,89508,9.782
6367,10,p,1,CA1 SLM,22115,9.693
6367,10,p,1,CA4 pyr,43327,9.546
6367,10,p,1,DG PL hilus,43404,10.061
6367,10,p,1,DG-ML,117748,9.31
6367,11,l,1,CA1 SLM,99230,7.292
6367,11,l,1,CA4 pyr,X,X
6367,11,l,1,DG PL hilus,55971,13.582
