id,treatment,genotype,sex,day,session,rot_latency,pre_post
7,eda,wt,m,1,1,122.2,pre
7,eda,wt,m,1,2,132.7,pre
7,eda,wt,m,1,3,194.8,pre
7,eda,wt,m,1,4,193,pre
7,eda,wt,m,2,1,131.1,pre
7,eda,wt,m,2,2,166.8,pre
7,eda,wt,m,2,3,181,pre
7,eda,wt,m,2,4,100.6,pre
7,eda,wt,m,3,1,146.8,pre
7,eda,wt,m,3,2,197.2,pre
7,eda,wt,m,3,3,218.5,pre
7,eda,wt,m,3,4,164.5,pre
9,ctrl,wt,m,1,1,57.1,pre
9,ctrl,wt,m,1,2,121.4,pre
9,ctrl,wt,m,1,3,105.1,pre
9,ctrl,wt,m,1,4,142.9,pre
9,ctrl,wt,m,2,1,48.6,pre
9,ctrl,wt,m,2,2,101.8,pre
9,ctrl,wt,m,2,3,157.1,pre
9,ctrl,wt,m,2,4,159.2,pre
9,ctrl,wt,m,3,1,190.5,pre
9,ctrl,wt,m,3,2,95.3,pre
9,ctrl,wt,m,3,3,173.8,pre
9,ctrl,wt,m,3,4,150,pre
11,ctrl,wt,f,1,1,80.7,pre
11,ctrl,wt,f,1,2,27.8,pre
11,ctrl,wt,f,1,3,65.6,pre
11,ctrl,wt,f,1,4,66.3,pre
11,ctrl,wt,f,2,1,98.7,pre
11,ctrl,wt,f,2,2,114.3,pre
11,ctrl,wt,f,2,3,127.9,pre
11,ctrl,wt,f,2,4,126.1,pre
11,ctrl,wt,f,3,1,123.9,pre
11,ctrl,wt,f,3,2,146,pre
11,ctrl,wt,f,3,3,147.8,pre
11,ctrl,wt,f,3,4,143.2,pre
12,eda,wt,f,1,1,90.6,pre
12,eda,wt,f,1,2,120.8,pre
12,eda,wt,f,1,3,132,pre
12,eda,wt,f,1,4,168.8,pre
12,eda,wt,f,2,1,118.9,pre
12,eda,wt,f,2,2,185,pre
12,eda,wt,f,2,3,208.6,pre
12,eda,wt,f,2,4,197.1,pre
12,eda,wt,f,3,1,120.6,pre
12,eda,wt,f,3,2,129.4,pre
12,eda,wt,f,3,3,214.9,pre
12,eda,wt,f,3,4,165.5,pre
13,eda,sca,m,1,1,133.8,pre
13,eda,sca,m,1,2,109.1,pre
13,eda,sca,m,1,3,167.3,pre
13,eda,sca,m,1,4,174.9,pre
13,eda,sca,m,2,1,175.9,pre
13,eda,sca,m,2,2,164.6,pre
13,eda,sca,m,2,3,155.5,pre
13,eda,sca,m,2,4,162.2,pre
13,eda,sca,m,3,1,160.7,pre
13,eda,sca,m,3,2,176.4,pre
13,eda,sca,m,3,3,132.4,pre
13,eda,sca,m,3,4,198.6,pre
14,eda,wt,m,1,1,29.9,pre
14,eda,wt,m,1,2,30.7,pre
14,eda,wt,m,1,3,41.1,pre
14,eda,wt,m,1,4,80.5,pre
14,eda,wt,m,2,1,96.3,pre
14,eda,wt,m,2,2,141.8,pre
14,eda,wt,m,2,3,109.6,pre
14,eda,wt,m,2,4,112.9,pre
14,eda,wt,m,3,1,125.9,pre
14,eda,wt,m,3,2,186.2,pre
14,eda,wt,m,3,3,204.3,pre
14,eda,wt,m,3,4,153,pre
15,ctrl,sca,f,1,1,46.6,pre
15,ctrl,sca,f,1,2,54.6,pre
15,ctrl,sca,f,1,3,52.4,pre
15,ctrl,sca,f,1,4,72.7,pre
15,ctrl,sca,f,2,1,50.1,pre
15,ctrl,sca,f,2,2,41.1,pre
15,ctrl,sca,f,2,3,47.9,pre
15,ctrl,sca,f,2,4,50.2,pre
15,ctrl,sca,f,3,1,84.8,pre
15,ctrl,sca,f,3,2,55,pre
15,ctrl,sca,f,3,3,57.6,pre
15,ctrl,sca,f,3,4,58.7,pre
16,ctrl,wt,f,1,1,43.4,pre
16,ctrl,wt,f,1,2,79.1,pre
16,ctrl,wt,f,1,3,73.5,pre
16,ctrl,wt,f,1,4,122.6,pre
16,ctrl,wt,f,2,1,135.4,pre
16,ctrl,wt,f,2,2,111.6,pre
16,ctrl,wt,f,2,3,138.1,pre
16,ctrl,wt,f,2,4,142.5,pre
16,ctrl,wt,f,3,1,149,pre
16,ctrl,wt,f,3,2,47.5,pre
16,ctrl,wt,f,3,3,192.9,pre
16,ctrl,wt,f,3,4,169.7,pre
18,ctrl,sca,m,1,1,93.9,pre
18,ctrl,sca,m,1,2,69,pre
18,ctrl,sca,m,1,3,82.3,pre
18,ctrl,sca,m,1,4,84.9,pre
18,ctrl,sca,m,2,1,68.9,pre
18,ctrl,sca,m,2,2,113.2,pre
18,ctrl,sca,m,2,3,139.4,pre
18,ctrl,sca,m,2,4,116.6,pre
18,ctrl,sca,m,3,1,106.3,pre
18,ctrl,sca,m,3,2,120.7,pre
18,ctrl,sca,m,3,3,95.8,pre
18,ctrl,sca,m,3,4,163.8,pre
19,eda,sca,f,1,1,123.4,pre
19,eda,sca,f,1,2,149.4,pre
19,eda,sca,f,1,3,161.9,pre
19,eda,sca,f,1,4,158.6,pre
19,eda,sca,f,2,1,99.7,pre
19,eda,sca,f,2,2,177.1,pre
19,eda,sca,f,2,3,49.7,pre
19,eda,sca,f,2,4,192,pre
19,eda,sca,f,3,1,192.7,pre
19,eda,sca,f,3,2,161,pre
19,eda,sca,f,3,3,193.2,pre
19,eda,sca,f,3,4,174.3,pre
20,ctrl,sca,f,1,1,110.8,pre
20,ctrl,sca,f,1,2,170.9,pre
20,ctrl,sca,f,1,3,166.9,pre
20,ctrl,sca,f,1,4,86.2,pre
20,ctrl,sca,f,2,1,137.7,pre
20,ctrl,sca,f,2,2,138.7,pre
20,ctrl,sca,f,2,3,46.3,pre
20,ctrl,sca,f,2,4,156,pre
20,ctrl,sca,f,3,1,157.6,pre
20,ctrl,sca,f,3,2,148.5,pre
20,ctrl,sca,f,3,3,122.2,pre
20,ctrl,sca,f,3,4,122.1,pre
21,eda,wt,f,1,1,115.1,pre
21,eda,wt,f,1,2,73.7,pre
21,eda,wt,f,1,3,78.2,pre
21,eda,wt,f,1,4,149.7,pre
21,eda,wt,f,2,1,90.6,pre
21,eda,wt,f,2,2,217.3,pre
21,eda,wt,f,2,3,193.5,pre
21,eda,wt,f,2,4,221.3,pre
21,eda,wt,f,3,1,288,pre
21,eda,wt,f,3,2,210.2,pre
21,eda,wt,f,3,3,299.2,pre
21,eda,wt,f,3,4,224.8,pre
23,ctrl,wt,m,1,1,86.4,pre
23,ctrl,wt,m,1,2,76.2,pre
23,ctrl,wt,m,1,3,139.8,pre
23,ctrl,wt,m,1,4,72,pre
23,ctrl,wt,m,2,1,160.3,pre
23,ctrl,wt,m,2,2,190.3,pre
23,ctrl,wt,m,2,3,154.9,pre
