id;genotype;age_cohort;born;experiment_start;age_in_start_(weeks);first_weight_(mg);pre_death_weight_(mg);epm_falls;epm_distance;epm_close1_dur;epm_close1_fre;epm_close1_to1;epm_close2_dur;epm_close2_fre;epm_close2_to1;epm_open1_dur;epm_open1_fre;epm_open1_to1;epm_open2_dur;epm_open2_fre;epm_open2_to1;of.distance;of.corner;of.center.dist;of.on.edges_narrow;of.distance_on_edges_narrow;olm_testing1;olm_stable1;olm_testing2;olm_stable2;olm_testing3;olm_stable3;olm_testing4;olm_stable4;startle_max;startle_lat_max;pre_max;pre_lat_max;digi_12_hind_Stance_Stride;digi_12_hind_Stride_Length;digi_12_hind_abs(Paw_Angle);digi_12_hind_Stance_Width;digi_12_hind_Stride_length_CV;digi_12_hind_Stance_Width_CV;digi_12_fore_Stance_Stride;digi_12_fore_Stride_Length;digi_12_fore_Stride_Length_CV;digi_18_hind_Stance_Stride;digi_18_hind_Stride_Length;digi_18_hind_abs(Paw_Angle);digi_18_hind_Stance_Width;digi_18_hind_Stride_length_CV;digi_18_hind_Stance_Width_CV;digi_18_fore_Stance_Stride;digi_18_fore_Stride_Length;digi_18_fore_Stride_Length_CV;rotarod1_1;rotarod1_2;rotarod1_3;rotarod1_4;rotarod1_5;rotarod2_1;rotarod2_2;rotarod2_3;rotarod2_4;rotarod2_5;rotarod3_1;rotarod3_2;rotarod3_3;rotarod3_4;rotarod3_5;rotarod4_1;rotarod4_2;rotarod4_3;rotarod4_4;rotarod4_5;rotarod5_1;rotarod5_2;rotarod5_3;rotarod5_4;rotarod5_5;mwm_probe_trial;mwm_lat_2_7;mwm_lat_8_9;mwm_non_mowing_1_7;t_maze1;t_maze2;t_maze3;t_maze4;t_maze5;t_maze6;t_maze7;t_maze8;t_maze9;t_maze10;t_maze11;fst5_freqency_immobile;fst5_first;fst_immobility1;fst_immobility2;fst_immobility3;fst_immobility4;fst_immobility5;fst_immobility6;brain_weight;cb_mol;cb_granular;DG_ML_volume;ca_srlm;hypoglossal_nuclues_volume(mm3);parietal_cortex_thickness(mm);ca_oriens_pyramidale(mm3);dg_hilus(mm3);dg_granular(mm3)
102;tg+;sca1_w26;10.03.2017;18.09.2017;27.4;22.3;19.7;0;1275.7;143.12;7;15.28;27.68;3;0;0;0;0;0;0;0;2565.672564;0.666666667;27.99080724;0.951426025;0.923408265;2;34;2;24;0;1;1;6;8.91;159.44;7.99;177.67;75.65;4.216666667;10.86666667;2.2;9.341666667;4.56;72.21666667;4.15;10.45;76.8;5.025;12.125;2.1;10.5225;15.425;65.25;4.925;32.5025;4;4;16;99;58;75;93;111;59;72;65;97;87;79;93;98;109;74;92;59;61;95;69;88;70;0.015936255;55.07;58.125;13.38448655;20;50;60;40;50;50;10;50;30;50;60;1;118.56;0;2;0.24;0;0;0;353;2.17056;2.49984;2.864761905;4.370285714;0.016296296;0.525943304;3.961904762;0.597261531;0.616245394
136;w;sca1_w26;13.03.2017;18.09.2017;27;26.7;26.6;0;2109.85;46.72;7;23.84;95.12;16;0.24;28.24;5;14.48;24.64;5;39.68;7649.400939;0.506109753;26.22500194;0.778271495;0.691672592;33;23;8;10;15;13;11;6;19.39;81.77;3.8;163.46;74.45;4.416666667;12.46666667;2.3;18.59833333;13.10333333;64.26666667;4.333333333;31.125;72.575;6.475;10.7;2.35;7.8525;8.515;62.55;6.2;32.4425;173;180;197;158;236;266;202;185;201;248;228;234;97;91;202;213;260;238;243;194;177;240;242;290;235;0.193227092;20.595;13.02;5.59727995;20;10;10;10;0;10;0;100;40;20;0;7;84.88;0;5.76;4.56;4.48;14.72;7.84;356;2.8864;2.299733333;2.956114286;4.813714286;0.014637037;0.47257087;3.863314286;0.568570011;0.643841691
98;tg+;sca1_w26;10.03.2017;18.09.2017;27.4;21.2;20.4;0;727.538;0;0;0;193.36;9;1.12;0;0;0;0;0;0;2175.184603;0.535459411;26.30384986;0.827386262;0.7982665;0;2;0;0;0;0;0;1;6.29;157.94;5.91;193.71;78.9;4.9;8.45;2.5;12.59;6.24;71.3;4.5;19.28;;;;;;;;;;10;96;79;78;74;92;90;80;72;72;65;92;83;65;85;74;72;61;74;81;61;68;76;42;95;0.001992032;55.03999996;58.89;56.7688013;50;10;10;0;0;10;0;60;80;60;50;15;8.56;5.44;27.84;38.32;29.76;35.44;30.24;350;;;;;;;;;
99;tg+;sca1_w26;10.03.2017;18.09.2017;27.4;20.9;19.9;0;987.819;38.08;4;18.56;217.2;7;33.44;0;0;0;0;0;0;5908.348162;0.566318596;28.22100693;0.91113086;0.892628194;22;18;10;6;5;4;0;0;13.84;91.73;10.57;89.79;74.21666667;3.966666667;10.86666667;2.166666667;12.89833333;6.706666667;64.01666667;3.7;30.89666667;;;;;;;;;;87;117;87;73;86;83;72;58;64;66;86;89;74;93;71;116;147;71;95;59;56;98;176;80;84;0.014227642;46.685;36.255;26.43727143;30;30;60;30;20;40;30;20;10;0;0;15;45.28;2.24;23.36;34.96;31.52;39.84;44.64;345;2.4512;2.5024;2.7008;4.3584;0.015348148;0.494014337;3.8528;0.52132608;0.50041728
100;w;sca1_w26;10.03.2017;18.09.2017;27.4;28.7;26.6;0;2146.74;52.32;9;6.4;58.56;9;17.28;61.44;5;57.44;30.88;3;91.92;7194.055825;0.497660949;27.39794901;0.853865003;0.772128251;33;33;12;17;16;39;6;4;24.78;82.17;5.71;150.54;79.01666667;4.65;25.41666667;2;16.92333333;29.16666667;69.93333333;4.183333333;37.42333333;69.86666667;5.716666667;20.08333333;2.133333333;11.43333333;13.72;64;5.733333333;25.03;146;101;38;155;182;141;204;184;194;193;121;166;243;196;182;111;108;131;135;170;93;96;168;143;225;0.193227092;40.285;14.805;25.76635011;40;20;10;10;0;0;0;70;30;10;0;1;9.92;6.32;0;0;0;0;0;370;;;2.656;4.7744;;0.537450077;3.6096;0.6133248;0.5645376
101;tg+;sca1_w26;10.03.2017;18.09.2017;27.4;21.2;21.1;0;711.97;16.48;1;3.12;288.16;4;35.76;0;0;0;0;0;0;1570.797099;0.687402799;28.2914613;0.976227505;0.87603432;5;2;5;2;15;0;1;0;4.79;178.79;5.21;173.17;84.3;4.85;13.5;2.5;6.61;6;69.55;5;16.265;78.375;5.65;14.925;2.2;10.4375;4.415;68.45;5.375;21.87;53;88;70;71;64;80;61;58;63;74;56;90;76;66;60;81;90;56;101;113;85;74;94;67;90;0.001992032;52.88;56.835;59.6525035;70;100;50;60;40;40;40;0;10;10;10;20;10.48;14.88;27.28;17.84;21.12;37.68;10.32;320;2.14032;2.32128;2.2264;4.189066667;0.014340741;0.50359447;3.128;0.4875816;0.41678208
111;w;sca1_w26;12.04.2017;23.10.2017;27.7;30.6;29.4;0;926.043;85.84;4;14.64;31.84;3;262.24;8.16;3;82.88;0;0;0;5751.370602;0.537603214;26.32193015;0.736219594;0.66699769;41;66;28;51;24;19;22;25;8.96;112.52;3.99;130.38;78.2125;4.9;18.05;2.4;13.22625;10.8325;66.0625;4.6125;35.41;75.3125;5.9;18.1;2.525;11.9375;8.9325;64.7;6.025;20.21625;79;50;175;161;192;175;222;186;196;197;127;205;174;165;238;224;192;220;224;216;206;166;211;186;189;0.233067729;40.445;13.95;34.82030088;30;0;0;0;0;0;0;50;20;10;0;15;21.52;20.24;32.16;50.64;21.12;43.92;13.84;423;3.2928;3.044533333;;;0.015822222;;;;
112;w;sca1_w26;12.04.2017;23.10.2017;27.7;30.3;30.1;0;2098.13;56.64;7;31.52;38.8;6;38.24;22.4;4;14.16;54.4;7;1.36;3979.644593;0.452121751;23.99638073;0.67029549;0.597850265;38;42;28;46;32;29;38;32;23.33;87.21;4.18;151.71;77.175;4.325;17.975;3.05;17.175;8.235;65.25;4.325;32.7725;73.25;5.88;17.77;2.76;7.898;7.58;66.43;5.8;20.093;95;112;69;130;171;135;205;251;264;267;231;229;217;337;246;214;281;245;332;279;170;289;146;189;151;0.131474104;40.71;18.3;32.99889986;40;0;0;0;0;0;0;80;20;10;10;16;59.6;1.2;24.4;27.2;41.2;36.8;20.4;418;3.142857143;2.872571429;;;0.012622222;;;;
108;w;sca1_w26;18.04.2017;23.10.2017;26.9;29.9;28.2;0;2279.64;62.16;10;2.24;71.76;12;0;22.88;4;37.76;44.64;4;91.44;4147.593295;0.659602944;26.20060327;0.824670979;0.719617097;31;19;25;36;23;37;17;38;14.11;71.08;4.61;175.5;75.425;4.3;24.1;2.35;24.77;10.0325;70.6;4.1375;29.15125;70.0875;5.4875;25.3875;2.425;9.8825;8.3025;63.1875;5.425;16.92875;106;156;210;190;102;159;222;228;287;235;244;244;292;285;309;245;240;283;306;337;145;282;328;272;332;0.011952191;40.345;30.075;26.93727524;40;0;0;0;10;0;0;60;30;20;0;8;72.16;0.88;22.56;32.64;60;17.68;7.6;362;;;;;;;;;
109;tg+;sca1_w26;18.04.2017;23.10.2017;26.9;22.6;21.5;0;1992.9;79.52;17;3.76;61.44;10;27.12;2.08;2;337.36;3.68;2;192.08;2370.078577;0.694512331;29.18705788;0.913130415;0.874235668;48;57;17;14;20;8;0;0;8.75;114.02;4.76;116.88;82.65;4.6;15.55;2.5;15.835;8.95;64.36666667;4.833333333;43.11;75.625;5.675;14.175;2.5;8.9225;4.94;68.025;6.2;27.14;88;156;71;45;142;104;131;150;150;175;101;164;147;137;122;131;165;119;142;178;87;166;131;168;169;0.278884462;58.195;57.23999988;52.11323208;60;80;70;20;0;30;20;20;10;10;0;11;13.36;8.4;12;4.88;13.76;18.4;28.88;350;1.506;2.016;2.405389474;4.374568421;0.017066667;0.452043011;3.502147368;0.480462215;0.594470198
